id,bare,rank,type,level
1356,список,1333.0,noun,B2
1358,праздник,1335.0,noun,B2
1360,покой,1337.0,noun,B2
1361,шутка,1338.0,noun,B2
1362,автобус,1339.0,noun,A2
1363,рада,1340.0,noun,B2
1365,вариант,1342.0,noun,B2
1367,дыхание,1344.0,noun,B2
1369,организм,1346.0,noun,B2
1373,жертва,1350.0,noun,B2
1375,начальство,1352.0,noun,B2
1377,рукав,1354.0,noun,B2
1378,занятие,1355.0,noun,B2
1381,охрана,1358.0,noun,B2
1384,масло,1361.0,noun,B2
1387,кость,1364.0,noun,B2
1390,пиво,1367.0,noun,A1
1395,чиновник,1372.0,noun,B2
1396,эхо,1373.0,noun,B2
1399,потолок,1376.0,noun,B2
1400,лёгкое,1377.0,noun,B2
1402,защита,1379.0,noun,B2
1405,энергия,1382.0,noun,B2
1406,звонок,1383.0,noun,B2
1408,сигарета,1385.0,noun,B2
1412,кошка,1389.0,noun,A2
1414,зона,1391.0,noun,B2
1415,диван,1392.0,noun,B2
1418,предел,1395.0,noun,B2
1425,пятнадцать,1402.0,noun,B2
1429,постель,1406.0,noun,B2
1430,тайна,1407.0,noun,B2
1432,туман,1409.0,noun,B2
1435,книжка,1412.0,noun,B2
1445,королева,1422.0,noun,B2
1447,вход,1424.0,noun,A2
1448,церковь,1425.0,noun,B2
1450,музей,1427.0,noun,B2
1451,планета,1428.0,noun,B2
1452,опасность,1429.0,noun,B2
1461,поиск,1438.0,noun,B2
1462,палатка,1439.0,noun,B2
1466,источник,1443.0,noun,B2
1468,основание,1445.0,noun,B2
1477,осень,1454.0,noun,B2
1480,понятие,1457.0,noun,B2
1481,тон,1458.0,noun,B2
1483,аппарат,1460.0,noun,B2
1484,водитель,1461.0,noun,B2
1489,крыло,1466.0,noun,B2
1490,изменение,1467.0,noun,B2
1491,беседа,1468.0,noun,B2
1492,пост,1469.0,noun,B2
1493,вывод,1470.0,noun,B2
1494,комиссия,1471.0,noun,B2
1496,множество,1473.0,noun,B2
1497,явление,1474.0,noun,B2
1501,красота,1478.0,noun,B2
1503,мороз,1480.0,noun,B2
1504,дача,1481.0,noun,B2
1506,пастух,1483.0,noun,B2
1510,дон,1487.0,noun,B2
1512,остальное,1489.0,noun,B2
1515,площадка,1492.0,noun,B2
1517,усилие,1494.0,noun,B2
1518,приятель,1495.0,noun,B2
1520,ручка,1496.0,noun,B2
1523,столик,1499.0,noun,B2
1524,журналист,1500.0,noun,B2
1526,выстрел,1502.0,noun,B2
1527,озеро,1503.0,noun,B2
1530,сумка,1506.0,noun,B2
1531,кино,1507.0,noun,B2
1532,должность,1508.0,noun,B2
1533,зло,1509.0,noun,B2
1534,позиция,1510.0,noun,B2
1538,удивление,1514.0,noun,B2
1540,ученик,1516.0,noun,B2
1543,основа,1519.0,noun,B2
1544,горе,1520.0,noun,B2
1547,рождение,1523.0,noun,B2
1548,песня,1524.0,noun,B2
1550,полок,1526.0,noun,B2
1552,старшина,1528.0,noun,B2
1553,колесо,1529.0,noun,B2
1555,шофёр,1531.0,noun,B2
1556,проект,1532.0,noun,B2
1557,совесть,1533.0,noun,B2
1560,суть,1536.0,noun,B2
1561,режим,1537.0,noun,B2
1563,стен,1539.0,noun,B2
1564,чемодан,1540.0,noun,B2
1565,платье,1541.0,noun,B2
1567,хозяйство,1543.0,noun,B2
1568,полиция,1544.0,noun,A2
1569,пункт,1545.0,noun,B2
1570,ствол,1546.0,noun,B2
1571,толк,1547.0,noun,B2
1572,вкус,1548.0,noun,B2
1575,добро,1551.0,noun,B2
1576,портрет,1552.0,noun,B2
1578,полк,1554.0,noun,B2
1579,кофе,1555.0,noun,A1
1580,отделение,1556.0,noun,B2
1581,подать,1557.0,noun,B2
1582,обстановка,1558.0,noun,B2
1583,пятно,1559.0,noun,B2
1585,бровь,1561.0,noun,B2
1586,телевизор,1562.0,noun,B2
1589,база,1565.0,noun,B2
1592,тревога,1568.0,noun,B2
1594,помещение,1570.0,noun,B2
1597,урок,1573.0,noun,B2
1599,поведение,1575.0,noun,B2
1600,создание,1576.0,noun,B2
1601,собрание,1577.0,noun,B2
1602,дедушка,1578.0,noun,B2
1606,функция,1582.0,noun,B2
1607,нарушение,1583.0,noun,B2
1609,экран,1585.0,noun,B2
1611,шапка,1587.0,noun,B2
1614,полоса,1590.0,noun,B2
1615,хозяйка,1591.0,noun,B2
1616,штаны,1592.0,noun,B2
1618,грязь,1594.0,noun,B2
1620,заявление,1596.0,noun,B2
1623,труп,1599.0,noun,B2
1626,подарок,1602.0,noun,B2
1627,рубашка,1603.0,noun,B2
1628,август,1604.0,noun,B2
1631,объект,1607.0,noun,B2
1635,охота,1611.0,noun,B2
1636,штука,1612.0,noun,B2
1637,муха,1613.0,noun,B2
1642,молоко,1618.0,noun,B2
1648,буква,1624.0,noun,B2
1650,вершина,1626.0,noun,B2
1657,товар,1633.0,noun,B2
1659,лапа,1635.0,noun,B2
1662,гостиница,1638.0,noun,A1
1666,середина,1642.0,noun,B2
1670,бригада,1646.0,noun,B2
1673,признак,1649.0,noun,B2
1674,среда,1650.0,noun,A2
1675,политика,1651.0,noun,B2
1676,капля,1652.0,noun,B2
1677,вес,1653.0,noun,B2
1679,комитет,1655.0,noun,B2
1681,плащ,1657.0,noun,B2
1683,поток,1659.0,noun,B2
1694,холод,1670.0,noun,B2
1700,записка,1676.0,noun,B2
1701,появление,1677.0,noun,B2
1702,платок,1678.0,noun,B2
1708,корпус,1684.0,noun,B2
1713,сведение,1689.0,noun,B2
1716,забор,1692.0,noun,C1
1717,октябрь,103.0,noun,A1
1718,строй,1694.0,noun,C1
1719,морда,1695.0,noun,C1
1723,краска,1699.0,noun,C1
1726,кружок,1702.0,noun,C1
1728,могила,1704.0,noun,C1
1730,облако,1706.0,noun,C1
1731,шкаф,1707.0,noun,C1
1733,милиционер,1709.0,noun,C1
1734,сумма,1710.0,noun,C1
1736,сеть,1712.0,noun,C1
1737,грех,1713.0,noun,C1
1739,ожидание,1715.0,noun,C1
